Category,Manufacturer,Model,Engine_Type,Seats,Cruise_Speed_KTAS,Range_NM,Service_Ceiling_FT,Max_Takeoff_Weight_LB,Approx_IRL_Price_USD,Edition
Airplane,Air Tractor,AT-802,Turboprop,2.0,191.0,430.0,13000.0,16000.0,1500000.0,Estimé (Inclus: Édition Standard)
Airplane,Airbus,A310-300,Jet,250.0,484.0,5150.0,41000.0,361500.0,40000000.0,Estimé (Inclus: Édition Standard)
Airplane,Airbus,A321LR,Jet,206.0,450.0,4000.0,39800.0,213800.0,130000000.0,Estimé (Inclus: Édition Standard)
Airplane,Airbus,A330,Jet,277.0,470.0,6350.0,41100.0,533500.0,260000000.0,Estimé (Inclus: Édition Standard)
Airplane,Airbus,A330-743L Beluga XL,Jet,2.0,400.0,2200.0,35000.0,500400.0,183000000.0,Estimé (Inclus: Édition Standard)
Airplane,Airbus,A400M Atlas,Turboprop,116.0,421.0,4800.0,40000.0,310850.0,170000000.0,Estimé (Inclus: Édition Standard)
Airplane,Airship Industries,Skyship 600,Piston,15.0,40.0,500.0,10000.0,14000.0,4000000.0,Estimé (Inclus: Édition Standard)
Airplane,Archer,Midnight,Electric,5.0,130.0,50.0,10000.0,6500.0,1000000.0,Estimé (Inclus: Édition Standard)
Airplane,Aviat,Pitts Special S1S,Piston,1.0,152.0,275.0,21200.0,1150.0,100000.0,Estimé (Inclus: Édition Standard)
Airplane,Aviat,Pitts Special S2S,Piston,2.0,152.0,275.0,21200.0,1500.0,120000.0,Estimé (Inclus: Édition Standard)
Airplane,Beechcraft,King Air 350i,Turboprop,11.0,312.0,1806.0,35000.0,15000.0,8000000.0,Estimé (Inclus: Édition Standard)
Airplane,Boeing,747-8I/F,Jet,410.0,490.0,7730.0,43100.0,987000.0,418000000.0,Estimé (Inclus: Édition Standard)
Airplane,Boeing,F/A-18E,Jet,1.0,1030.0,1275.0,50000.0,66000.0,67000000.0,Estimé (Inclus: Édition Standard)
Airplane,Cessna,152,Piston,2.0,107.0,415.0,14700.0,1670.0,80000.0,Estimé (Inclus: Édition Standard)
Airplane,Cessna,172 Skyhawk G1000,Piston,4.0,122.0,640.0,14000.0,2550.0,450000.0,Estimé (Inclus: Édition Standard)
Airplane,Cessna,208B Grand Caravan EX,,,,,,,2800000.0,Estimé (Inclus: Édition Standard)
Airplane,Cessna,400 Corvalis TT,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Cessna,Citation CJ4,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,CGS,Hawk Arrow II,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Cirrus,Vision SF50,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,CubCrafters,NX Cub,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,CubCrafters,XCub,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Curtiss,JN-4 Jenny,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,DG,Aviation DG-1001E,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,DG,Aviation LS8-18,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Daher,TBM 930,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,De,Havilland CL-415,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,De,Havilland DHC-2 Beaver,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,De,Havilland DHC-6 Twin Otter,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Diamond,DA40 NG,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Diamond,DA62,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Douglas,DC-3,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Draco,X,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Extra,330LT,,,,,,,,Estimé (Inclus: Édition Standard)
Helicopter,Erickson,S-64F Aircrane,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Fairchild,Republic A-10 Thunderbolt II,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Flight,Design CTSL,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,FlyDoo,Hot Air Balloon,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Grumman,G-21A Goose,,,,,,,,Estimé (Inclus: Édition Standard)
Helicopter,Guimbal,Cabri G2,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Heart,Aerospace ES-30,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Hot,Air Balloon,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Hughes,H-4 Hercules,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,ICON,A5,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,JMB,VL-3,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Jetson,One,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Joby,S4,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Magni,M-24 Orion,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,MXS-R,,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,North,American P-51 Mustang,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,North,American T-6 Texan,,,,,,,,Estimé (Inclus: Édition Standard)
Airplane,Pilatus,PC-12 NGX,Turboprop,10.0,290.0,1803.0,30000.0,10450.0,5500000.0,Estimé (Inclus: Édition Standard)
Airplane,Pilatus,PC-6 B2,Turboprop,11.0,115.0,500.0,25000.0,6173.0,2000000.0,Estimé (Inclus: Édition Standard)
Airplane,Powrachute,Sky Rascal,Piston,1.0,35.0,100.0,10000.0,500.0,15000.0,Estimé (Inclus: Édition Standard)
Airplane,Robin,CAP 10,Piston,2.0,135.0,650.0,16000.0,1675.0,150000.0,Estimé (Inclus: Édition Standard)
Airplane,Robin,DR400-100 Cadet,Piston,4.0,115.0,470.0,14000.0,1984.0,120000.0,Estimé (Inclus: Édition Standard)
Helicopter,Robin,son R66,,,,,,,1100000.0,Estimé (Inclus: Édition Standard)
Airplane,Ryan NYP,Spirit of St. Louis,Piston,1.0,113.0,3400.0,16400.0,5135.0,0.0,Estimé (Inclus: Édition Standard)
Airplane,Stemme,S12G,Piston,2.0,140.0,950.0,30000.0,1874.0,350000.0,Estimé (Inclus: Édition Standard)
Airplane,VoloCity,,Electric,2.0,48.0,19.0,6500.0,1984.0,300000.0,Estimé (Inclus: Édition Standard)
Airplane,Wright,Flyer,Piston,1.0,30.0,5.0,30.0,605.0,0.0,Estimé (Inclus: Édition Standard)
Airplane,Zivko,Edge 540,Piston,1.0,220.0,400.0,15000.0,1550.0,350000.0,Estimé (Inclus: Édition Standard)
Airplane,Zlin,Savage Cub,Piston,2.0,90.0,380.0,14400.0,1234.0,80000.0,Estimé (Inclus: Édition Standard)
Airplane,Amphibian Aerospace,Albatross G111/HU16,Piston,28.0,203.0,2478.0,21500.0,37500.0,1500000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Beechcraft,Baron G58,Piston,6.0,202.0,1480.0,20688.0,5500.0,1400000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Cessna,152 Aerobat,Piston,2.0,107.0,415.0,14700.0,1670.0,85000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Cessna,188 AGTruck,Piston,1.0,95.0,250.0,11100.0,3300.0,150000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Cessna,404 Titan,Piston,10.0,188.0,1840.0,26000.0,8400.0,500000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Cessna,408 SkyCourier,Turboprop,19.0,210.0,900.0,25000.0,19000.0,7000000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Diamond,DA40 TDI,Piston,4.0,130.0,720.0,16400.0,2535.0,450000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Diamond,DV20,Piston,2.0,116.0,510.0,13120.0,1764.0,250000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Dornier,Seastar,Turboprop,14.0,180.0,900.0,15000.0,10141.0,7000000.0,Estimé (Inclus: Édition Deluxe)
Airplane,Beechcraft,C90 GTX Air,Turboprop,8.0,272.0,1060.0,30000.0,10485.0,3800000.0,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Boeing,747-400 Global Supertanker,Jet,4.0,490.0,7260.0,45100.0,875000.0,50000000.0,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Boeing,747-400 LCF Dreamlifter,Jet,2.0,470.0,4200.0,43100.0,803000.0,250000000.0,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Boeing,787-10 Dreamliner,Jet,330.0,488.0,6430.0,41100.0,560000.0,338000000.0,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Boeing,C-17 Globemaster III,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Cessna,Citation Longitude,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Pipistrel,Taurus M,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Pipistrel,Virus SW121,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Saab,340B,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Zlin,Savage Norden,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
Airplane,Zlin,Shock Ultra,,,,,,,,Estimé (Inclus: Édition Premium Deluxe)
